Entity,Code,Year,Nuclear (% direct primary energy),Renewables (% direct primary energy),Fossil fuels (% direct primary energy)
Africa,,1965,0,2.0205562,97.97945
Africa,,1966,0,2.1577976,97.8422
Africa,,1967,0,2.2327197,97.76728
Africa,,1968,0,2.4842381,97.51576
Africa,,1969,0,2.8401523,97.15984
Africa,,1970,0,3.298447,96.70155
Africa,,1971,0,2.9048533,97.095146
Africa,,1972,0,3.138792,96.861206
Africa,,1973,0,3.0606759,96.93932
Africa,,1974,0,3.3378527,96.662155
Africa,,1975,0,3.3265598,96.67343
Africa,,1976,0,3.394954,96.60504
Africa,,1977,0,3.5442035,96.455795
Africa,,1978,0,3.434746,96.565254
Africa,,1979,0,3.3698816,96.63012
Africa,,1980,0,3.0395887,96.96041
Africa,,1981,0,2.802844,97.19716
Africa,,1982,0,2.6223118,97.377686
Africa,,1983,0,2.2800705,97.71993
Africa,,1984,0.19116485,2.1782556,97.630585
Africa,,1985,0.24974929,2.336257,97.413994
Africa,,1986,0.4060747,2.3896904,97.20423
Africa,,1987,0.27413103,2.2098715,97.516
Africa,,1988,0.43728378,2.2595336,97.303185
Africa,,1989,0.46264908,2.3715281,97.165825
Africa,,1990,0.33996907,2.3358297,97.324196
Africa,,1991,0.36949778,2.4836638,97.146835
Africa,,1992,0.36877388,2.3307455,97.30048
Africa,,1993,0.28683692,2.2781773,97.43498
Africa,,1994,0.37063876,2.2335584,97.3958
Africa,,1995,0.41508245,2.2329419,97.351974
Africa,,1996,0.4222325,2.2799356,97.29783
Africa,,1997,0.4447436,2.2944484,97.26081
Africa,,1998,0.47195208,2.3726003,97.15545
Africa,,1999,0.43224734,2.437858,97.1299
Africa,,2000,0.42913762,2.5633574,97.0075
Africa,,2001,0.34163266,2.665589,96.99278
Africa,,2002,0.37660676,2.7567341,96.86666
Africa,,2003,0.3777986,2.5584173,97.06378
Africa,,2004,0.3719667,2.5323884,97.09564
Africa,,2005,0.31318697,2.569725,97.11709
Africa,,2006,0.27259433,2.62943,97.09798
Africa,,2007,0.29647633,2.604216,97.099304
Africa,,2008,0.32066196,2.505795,97.17354
Africa,,2009,0.31079102,2.5436258,97.145584
Africa,,2010,0.3190874,2.6882806,96.99263
Africa,,2011,0.301978,2.752439,96.94558
Africa,,2012,0.29180744,2.6728647,97.035324
Africa,,2013,0.30921182,2.7722242,96.91856
Africa,,2014,0.2947586,2.916993,96.78825
Africa,,2015,0.2551749,2.9142482,96.830574
Africa,,2016,0.30516127,2.8679936,96.82684
Africa,,2017,0.2818704,3.062356,96.65578
Africa,,2018,0.22512417,3.258188,96.516685
Africa,,2019,0.25963485,3.4355693,96.304794
Africa,,2020,0.2840642,3.9058003,95.81014
Africa,,2021,0.20012316,3.8852022,95.91468
Africa (BP),,1965,0,2.0205562,97.97945
