Entity,Code,Year,$2.15 a day - share of population below poverty line,$2.15 - total number of people below poverty line
Albania,ALB,1996,0.53484603570828,16944
Albania,ALB,2002,1.09264739043891,33337
Albania,ALB,2005,0.59108568413212,17800
Albania,ALB,2008,0.19992514622249,5892
Albania,ALB,2012,0.62069088717048,18003
Albania,ALB,2014,1.0231007740106501,29558
Albania,ALB,2015,0.12062105945625,3475
Albania,ALB,2016,0.1393031662291,4006
Albania,ALB,2017,0.39256993441453003,11280
Albania,ALB,2018,0.04810704761888226,1379
Albania,ALB,2019,0,0
Algeria,DZA,1988,6.42031133511754,1569347
Algeria,DZA,1995,5.77056640624999,1659487
Algeria,DZA,2011,0.45546752929687,166981
Angola,AGO,2000,21.40884776538471,3510083
Angola,AGO,2008,14.632487286880941,3174611
Angola,AGO,2018,31.12200623143419,9588624
Argentina - urban,,1980,0.30901245117187,71452
Argentina - urban,,1986,1.1191321131303,293557
Argentina - urban,,1987,1.18608591777318,317511
Argentina - urban,,1991,0.97202862867158,280792
Argentina - urban,,1992,1.67371252553374,491272
Argentina - urban,,1993,1.97666617166051,589233
Argentina - urban,,1994,1.91132659932257,578379
Argentina - urban,,1995,3.85543438890523,1183846
Argentina - urban,,1996,4.2175671838763,1313596
Argentina - urban,,1997,3.76575080725686,1189211
Argentina - urban,,1998,3.9691887941735198,1270520
Argentina - urban,,1999,4.187958436971511,1358503
Argentina - urban,,2000,4.98826136031183,1639510
Argentina - urban,,2001,8.23478682494225,2742016
Argentina - urban,,2002,12.44715453882538,4198292
Argentina - urban,,2003,5.27926261750941,1803369
Argentina - urban,,2004,3.81300630307529,1318876
Argentina - urban,,2005,2.63117881983875,921325
Argentina - urban,,2006,2.11825600775217,750699
Argentina - urban,,2007,1.72366832755736,618127
Argentina - urban,,2008,1.58667020551422,575716
Argentina - urban,,2009,1.5240720327453101,559552
Argentina - urban,,2010,0.7493294108166699,277671
Argentina - urban,,2011,0.70741950977296,265592
Argentina - urban,,2012,0.64078860151052,243678
Argentina - urban,,2013,0.62253532606768,239737
Argentina - urban,,2014,0.6124674575500899,238802
Argentina - urban,,2016,0.66754935526147,266623
Argentina - urban,,2017,0.42402739515903,171352
Argentina - urban,,2018,0.7674704879175199,313720
Argentina - urban,,2019,0.78400696585487,324105
Argentina - urban,,2020,1.07472691064735,449203
Armenia,ARM,1996,13.8988232421875,440344
Armenia,ARM,1999,11.8994137949926,367575
Armenia,ARM,2001,13.97474937618221,426326
Armenia,ARM,2002,9.96660404925902,302384
Armenia,ARM,2003,7.53951747088186,227538
Armenia,ARM,2004,5.31780552827276,159572
Armenia,ARM,2005,2.62957038704493,78394
Armenia,ARM,2006,1.9985935161265698,59124
Armenia,ARM,2007,1.5362026096289,45051
Armenia,ARM,2008,0.87969424793796,25578
Armenia,ARM,2009,1.2476557322389699,36033
Armenia,ARM,2010,0.95146534576944,27377
Armenia,ARM,2011,1.18507093771001,34089
Armenia,ARM,2012,0.83222234925673,24003
Armenia,ARM,2013,1.7382651755770102,50368
Armenia,ARM,2014,1.43914308340864,41914
Armenia,ARM,2015,1.14636006826349,33537
